Locus,Gene,Start,Length,Product,Allele Count,Alleles
Rv2973c,recG,3327733,2214,ATP-dependent DNA helicase RecG,462,Rv2973c.fasta
Rv2974c,,3329949,1413,alanine-rich protein,436,Rv2974c.fasta
Rv2975a,,3331854,195,50S ribosomal protein L28,59,Rv2975a.fasta
Rv2975c,,3331358,255,hypothetical protein,58,Rv2975c.fasta
Rv2976c,ung,3332071,684,uracil-DNA glycosylase,155,Rv2976c.fasta
Rv2977c,thiL,3332787,1002,thiamine-monophosphate kinase,226,Rv2977c.fasta
Rv2979c,,3335164,585,resolvase,186,Rv2979c.fasta
Rv2980,,3335960,546,hypothetical protein,164,Rv2980.fasta
Rv2982c,gpdA2,3337995,1005,glycerol-3-phosphate dehydrogenase,255,Rv2982c.fasta
Rv2983,,3339118,645,2-phospho-L-lactate guanylyltransferase,180,Rv2983.fasta
Rv2984,ppk1,3339854,2229,polyphosphate kinase,448,Rv2984.fasta
Rv2985,mutT1,3342165,954,8-oxo-dGTP diphosphatase,262,Rv2985.fasta
Rv2987c,leuD,3344033,597,3-isopropylmalate dehydratase small subunit,139,Rv2987c.fasta
Rv2988c,leuC,3344654,1422,3-isopropylmalate dehydratase large subunit,301,Rv2988c.fasta
Rv2989,,3346147,702,transcriptional regulator,187,Rv2989.fasta
Rv2990c,,3346859,861,hypothetical protein,237,Rv2990c.fasta
Rv2991,,3347982,492,hypothetical protein,142,Rv2991.fasta
Rv2992c,gltS,3348805,1473,glutamate--tRNA ligase,358,Rv2992c.fasta
Rv2993c,,3350274,720,2-hydroxyhepta-2,,
Rv2994,,3351269,1338,MFS-type transporter,414,Rv2994.fasta
Rv2996c,serA1,3353483,1587,D-3-phosphoglycerate dehydrogenase,356,Rv2996c.fasta
Rv2997,,3355099,1443,alanine-rich dehydrogenase,424,Rv2997.fasta
Rv2998,,3356815,462,hypothetical protein,117,Rv2998.fasta
Rv2999,lppY,3357602,966,lipoprotein LppY,265,Rv2999.fasta
Rv3000,,3358612,660,transmembrane protein,187,Rv3000.fasta
Rv3001c,ilvC,3359585,1002,ketol-acid reductoisomerase,216,Rv3001c.fasta
Rv3002c,ilvN,3360624,507,acetolactate synthase small subunit,106,Rv3002c.fasta
Rv3003c,ilvB1,3361130,1857,acetolactate synthase large subunit IlvB,377,Rv3003c.fasta
Rv3004,cfp6,3363348,339,low molecular weight protein antigen 6,88,Rv3004.fasta
Rv3005c,,3363693,840,hypothetical protein,193,Rv3005c.fasta
Rv3006,lppZ,3364709,1122,lipoprotein LppZ,283,Rv3006.fasta
Rv3008,,3366644,624,hypothetical protein,182,Rv3008.fasta
Rv3009c,gatB,3367264,1530,aspartyl/glutamyl-tRNA(Asn/Gln) amidotransferase subunit B,312,Rv3009c.fasta
Rv3010c,pfkA,3368823,1032,6-phosphofructokinase,233,Rv3010c.fasta
Rv3011c,gatA,3369950,1485,glutamyl-tRNA(GLN) amidotransferase subunit A,404,Rv3011c.fasta
Rv3012c,gatC,3371431,300,glutamyl-tRNA(GLN) amidotransferase subunit C,71,Rv3012c.fasta
Rv3013,,3371815,657,hypothetical protein,195,Rv3013.fasta
Rv3014c,ligA,3372545,2076,DNA ligase A,478,Rv3014c.fasta
Rv3015c,,3374651,1014,hypothetical protein,283,Rv3015c.fasta
Rv3016,lpqA,3375758,630,lipoprotein LpqA,159,Rv3016.fasta
Rv3017c,esxQ,3376490,363,ESAT-6 like protein EsxQ,130,Rv3017c.fasta
Rv3024c,trmU,3382785,1104,tRNA-specific 2-thiouridylase,270,Rv3024c.fasta
Rv3025c,iscS,3383885,1182,cysteine desulfurase,296,Rv3025c.fasta
Rv3026c,,3385163,915,hypothetical protein,270,Rv3026c.fasta
Rv3027c,,3386074,846,GCN5-like N-acetyltransferase,262,Rv3027c.fasta
Rv3028c,fixB,3387075,957,electron transfer flavoprotein subunit alpha,269,Rv3028c.fasta
Rv3029c,fixA,3388070,801,electron transfer flavoprotein subunit beta,210,Rv3029c.fasta
Rv3030,,3389101,825,S-adenosylmethionine-dependent methyltransferase,192,Rv3030.fasta
Rv3031,,3389922,1581,1,,
Rv3032,,3391534,1245,glycogen synthase,264,Rv3032.fasta
Rv3032A,,3392812,390,hypothetical protein,106,Rv3032A.fasta
Rv3033,,3393380,549,hypothetical protein,122,Rv3033.fasta
Rv3034c,,3394019,903,acetyltransferase,184,Rv3034c.fasta
Rv3035,,3395379,1083,hypothetical protein,261,Rv3035.fasta
Rv3036c,TB22.2,3396458,684,secreted protein,181,Rv3036c.fasta
Rv3037c,,3397214,1077,S-adenosylmethionine-dependent methyltransferase,289,Rv3037c.fasta
Rv3038c,,3398425,984,hypothetical protein,206,Rv3038c.fasta
Rv3039c,echA17,3399419,765,enoyl-CoA hydratase EchA17,203,Rv3039c.fasta
Rv3040c,,3400192,867,hypothetical protein,261,Rv3040c.fasta
Rv3041c,,3401055,864,ABC transporter ATP-binding protein,215,Rv3041c.fasta
Rv3042c,serB2,3401933,1230,phosphoserine phosphatase SerB,296,Rv3042c.fasta
Rv3043c,ctaD,3403200,1722,cytochrome C oxidase cytochrome 1,372,Rv3043c.fasta
Rv3044,fecB,3405136,1080,FeIII-dicitrate-binding periplasmic lipoprotein,310,Rv3044.fasta
Rv3045,adhC,3406285,1041,NADP-dependent alcohol dehydrogenase,266,Rv3045.fasta
Rv3047c,,3408022,285,hypothetical protein,86,Rv3047c.fasta
Rv3048c,nrdF2,3408404,975,ribonucleoside-diphosphate reductase subunit beta NrdF2,173,Rv3048c.fasta
Rv3049c,,3409509,1575,monooxygenase,388,Rv3049c.fasta
Rv3050c,,3411217,741,AsnC family transcriptional regulator,224,Rv3050c.fasta
Rv3051c,nrdE,3412085,2082,ribonucleoside-diphosphate reductase subunit alpha,371,Rv3051c.fasta
Rv3052c,nrdI,3414232,453,NrdI protein,99,Rv3052c.fasta
Rv3053c,nrdH,3414719,240,glutaredoxin electron transport protein NrdH,48,Rv3053c.fasta
Rv3054c,,3415435,555,hypothetical protein,163,Rv3054c.fasta
Rv3055,,3416081,615,TetR family transcriptional regulator,159,Rv3055.fasta
Rv3056,dinP,3416705,1041,DNA polymerase IV 2,316,Rv3056.fasta
Rv3057c,,3417799,864,short chain alcohol dehydrogenase/reductase,232,Rv3057c.fasta
Rv3058c,,3418726,651,TetR family transcriptional regulator,149,Rv3058c.fasta
Rv3059,cyp136,3419492,1479,cytochrome P450 Cyp136,346,Rv3059.fasta
Rv3060c,,3421741,1473,GntR family transcriptional regulator,405,Rv3060c.fasta
Rv3062,ligB,3425584,1524,DNA ligase,474,Rv3062.fasta
Rv3063,cstA,3427243,2277,carbon starvation protein A,655,Rv3063.fasta
Rv3065,mmr,3430387,324,multidrug resistance protein Mmr,102,Rv3065.fasta
Rv3066,,3430707,609,DeoR family transcriptional regulator,147,Rv3066.fasta
Rv3067,,3431428,411,hypothetical protein,126,Rv3067.fasta
Rv3068c,pgmA,3431979,1644,phosphoglucomutase PgmA,435,Rv3068c.fasta
Rv3069,,3433692,399,fluoride ion transporter CrcB 1,115,Rv3069.fasta
Rv3070,,3434087,381,fluoride ion transporter CrcB 2,116,Rv3070.fasta
Rv3071,,3434464,1110,hypothetical protein,299,Rv3071.fasta
Rv3073c,,3436329,357,hypothetical protein,103,Rv3073c.fasta
Rv3074,,3436779,1275,hypothetical protein,403,Rv3074.fasta
Rv3075c,,3438050,924,hypothetical protein,221,Rv3075c.fasta
Rv3077,,3439541,1812,hydrolase,578,Rv3077.fasta
Rv3078,hab,3441353,402,hydroxylaminobenzene mutase,140,Rv3078.fasta
Rv3079c,,3441770,828,hypothetical protein,229,Rv3079c.fasta
Rv3080c,pknK,3442656,3333,serine/threonine-protein kinase PknK,982,Rv3080c.fasta
Rv3081,,3446040,1239,hypothetical protein,336,Rv3081.fasta
Rv3082c,virS,3447404,1023,HTH-type transcriptional regulator VirS,310,Rv3082c.fasta
Rv3087,,3452925,1419,diacyglycerol O-acyltransferase,475,Rv3087.fasta
Rv3088,tgs4,3454340,1425,diacyglycerol O-acyltransferase,419,Rv3088.fasta
Rv3089,fadD13,3455761,1512,long chain-fatty-acid--CoA ligase FadD13,451,Rv3089.fasta
Rv3090,,3458211,888,alanine/valine-rich protein,266,Rv3090.fasta
Rv3091,,3459116,1692,hypothetical protein,505,Rv3091.fasta
Rv3092c,,3460814,921,integral membrane protein,276,Rv3092c.fasta
Rv3093c,,3461760,1005,oxidoreductase,282,Rv3093c.fasta
Rv3094c,,3462761,1131,hypothetical protein,377,Rv3094c.fasta
Rv3095,,3463973,477,HTH-type transcriptional regulator,115,Rv3095.fasta
Rv3096,,3464547,1140,hypothetical protein,287,Rv3096.fasta
Rv3097c,lipY,3465778,1314,triacylglycerol lipase Lip,387,Rv3097c.fasta
Rv3099c,,3468413,852,hypothetical protein,246,Rv3099c.fasta
Rv3100c,smpB,3469301,483,SsrA-binding protein,113,Rv3100c.fasta
Rv3101c,ftsX,3469786,894,cell division protein FtsX,179,Rv3101c.fasta
Rv3102c,ftsE,3470680,690,cell division ATP-binding protein FtsE,147,Rv3102c.fasta
Rv3103c,,3471413,438,proline-rich protein,125,Rv3103c.fasta
Rv3105c,prfB,3472768,1137,peptide chain release factor PrfB,266,Rv3105c.fasta
Rv3106,fprA,3474007,1371,NADPH-ferredoxin reductase FprA,403,Rv3106.fasta
Rv3107c,agpS,3475378,1584,alkyldihydroxyacetonephosphate synthase,431,Rv3107c.fasta
Rv3109,moaA1,3477649,1080,cyclic pyranopterin monophosphate synthase 1,443,Rv3109.fasta
Rv3110,moaB1,3478779,396,pterin-4-alpha-carbinolamine dehydratase,118,Rv3110.fasta
Rv3127,,3492147,1035,hypothetical protein,296,Rv3127.fasta
Rv3130c,tgs1,3494975,1392,diacyglycerol O-acyltransferase,314,Rv3130c.fasta
Rv3132c,devS,3497529,1737,two component sensor histidine kinase DevS,438,Rv3132c.fasta
Rv3133c,devR,3499262,654,two component transcriptional regulator DevR,112,Rv3133c.fasta
Rv3134c,,3499943,807,universal stress protein,240,Rv3134c.fasta
Rv3136A,,3502945,333,hypothetical protein,120,Rv3136A.fasta
Rv3137,,3503393,783,histidinol-phosphatase,176,Rv3137.fasta
Rv3138,pflA,3504195,1089,pyruvate formate lyase activating protein PflA,337,Rv3138.fasta
Rv3140,fadE23,3506790,1206,acyl-CoA dehydrogenase FadE23,255,Rv3140.fasta
Rv3143,,3509654,402,response regulator,98,Rv3143.fasta
Rv3145,nuoA,3511682,387,NADH-quinone oxidoreductase subunit A,104,Rv3145.fasta
Rv3146,nuoB,3512077,555,NADH-quinone oxidoreductase subunit B,107,Rv3146.fasta
Rv3147,nuoC,3512628,711,NADH-quinone oxidoreductase subunit C,172,Rv3147.fasta
Rv3148,nuoD,3513338,1323,NADH-quinone oxidoreductase subunit D,244,Rv3148.fasta
Rv3149,nuoE,3514657,759,NADH-quinone oxidoreductase subunit E,175,Rv3149.fasta
Rv3150,nuoF,3515412,1338,NADH-quinone oxidoreductase subunit F,259,Rv3150.fasta
Rv3151,nuoG,3516746,2421,NADH-quinone oxidoreductase subunit G,573,Rv3151.fasta
Rv3152,nuoH,3519282,1233,NADH-quinone oxidoreductase subunit H,255,Rv3152.fasta
Rv3154,nuoJ,3521139,789,NADH-quinone oxidoreductase subunit J,207,Rv3154.fasta
Rv3155,nuoK,3521924,300,NADH-quinone oxidoreductase subunit K,80,Rv3155.fasta
Rv3156,nuoL,3522234,1902,NADH-quinone oxidoreductase subunit L,466,Rv3156.fasta
Rv3157,nuoM,3524132,1662,NADH-quinone oxidoreductase subunit M,422,Rv3157.fasta
Rv3158,nuoN,3525790,1596,NADH-quinone oxidoreductase subunit N,378,Rv3158.fasta
Rv3160c,,3529338,642,TetR family transcriptional regulator,150,Rv3160c.fasta
Rv3161c,,3529990,1149,dioxygenase,381,Rv3161c.fasta
Rv3162c,,3531208,438,integral membrane protein,106,Rv3162c.fasta
Rv3163c,,3531642,1272,secreted protein,294,Rv3163c.fasta
Rv3164c,moxR3,3532943,963,methanol dehydrogenase transcriptional regulator MoxR,204,Rv3164c.fasta
Rv3165c,,3533913,483,hypothetical protein,118,Rv3165c.fasta
Rv3166c,,3534392,960,hypothetical protein,260,Rv3166c.fasta
Rv3167c,,3535431,627,TetR family transcriptional regulator,194,Rv3167c.fasta
Rv3168,,3536102,1137,aminoglycoside phosphotransferase,343,Rv3168.fasta
Rv3169,,3537238,1125,hypothetical protein,349,Rv3169.fasta
Rv3170,aofH,3538505,1347,flavin-containing monoamine oxidase,349,Rv3170.fasta
Rv3172c,,3540882,483,hypothetical protein,134,Rv3172c.fasta
Rv3173c,,3541443,603,TetR/Acr family transcriptional regulator,174,Rv3173c.fasta
Rv3174,,3542138,708,short-chain dehydrogenase/reductase,222,Rv3174.fasta
Rv3175,,3542860,1488,amidase,459,Rv3175.fasta
Rv3176c,mesT,3544344,957,epoxide hydrolase MesT,302,Rv3176c.fasta
Rv3177,,3545447,861,peroxidase,222,Rv3177.fasta
Rv3178,,3546438,360,nitroreductase,111,Rv3178.fasta
Rv3178a,,3547037,294,hypothetical protein,78,Rv3178a.fasta
Rv3180c,,3549254,435,ribonuclease VapC45,123,Rv3180c.fasta
Rv3181c,,3549691,453,antitoxin VapB45,117,Rv3181c.fasta
Rv3182,,3550374,345,hypothetical protein,93,Rv3182.fasta
Rv3183,,3550715,330,transcriptional regulator,95,Rv3183.fasta
Rv3188,,3554298,348,hypothetical protein,108,Rv3188.fasta
Rv3189,,3554642,621,hypothetical protein,173,Rv3189.fasta
Rv3192,,3559563,462,alanine/proline-rich protein,165,Rv3192.fasta
Rv3193c,,3560194,2979,transmembrane protein,730,Rv3193c.fasta
Rv3194c,,3563264,1023,secreted protein,207,Rv3194c.fasta
Rv3195,,3564364,1419,hypothetical protein,414,Rv3195.fasta
Rv3196,,3565788,900,hypothetical protein,265,Rv3196.fasta
Rv3196A,,3566696,201,hypothetical protein,49,Rv3196A.fasta
Rv3197,,3567024,1344,ABC transporter ATP-binding protein,287,Rv3197.fasta
Rv3197A,whiB7,3568401,279,transcriptional regulator WhiB7,89,Rv3197A.fasta
Rv3198A,,3571335,255,glutaredoxin protein,64,Rv3198A.fasta
Rv3198c,uvrD2,3569109,2103,ATP-dependent DNA helicase UvrD,462,Rv3198c.fasta
Rv3199c,nudC,3571602,942,NADH pyrophosphatase,278,Rv3199c.fasta
Rv3200c,,3572602,1068,transmembrane cation transporter,345,Rv3200c.fasta
Rv3201c,,3573731,3306,ATP-dependent DNA helicase,864,Rv3201c.fasta
Rv3202a,,3580286,210,hypothetical protein,70,Rv3202a.fasta
Rv3202c,,3577033,3168,ATP-dependent DNA helicase,848,Rv3202c.fasta
Rv3203,lipV,3580638,675,lipase LipV,202,Rv3203.fasta
Rv3204,,3581315,306,DNA-methyltransferase,94,Rv3204.fasta
Rv3205c,,3581627,879,hypothetical protein,208,Rv3205c.fasta
Rv3206c,moeB1,3582532,1179,adenylyltransferase/sulfurtransferase,332,Rv3206c.fasta
Rv3207c,,3583801,858,hypothetical protein,179,Rv3207c.fasta
Rv3208,,3585004,687,TetR family transcriptional regulator,167,Rv3208.fasta
Rv3209,,3586274,561,threonine and proline-rich protein,149,Rv3209.fasta
Rv3210c,,3586844,696,hypothetical protein,127,Rv3210c.fasta
Rv3211,rhlE,3587798,1584,ATP-dependent RNA helicase RhlE,442,Rv3211.fasta
Rv3212,,3589394,1224,alanine/valine-rich protein,340,Rv3212.fasta
Rv3213c,,3590692,801,SOJ/ParA-like protein,190,Rv3213c.fasta
Rv3231c,,3608364,510,hypothetical protein,125,Rv3231c.fasta
Rv3232c,ppk2,3608870,888,polyphosphate kinase,169,Rv3232c.fasta
Rv3234c,tgs3,3610374,816,diacyglycerol O-acyltransferase,123,Rv3234c.fasta
Rv3235,,3611300,642,alanine/arginine/proline-rich protein,198,Rv3235.fasta
Rv3236c,,3611959,1158,integral membrane transport protein,335,Rv3236c.fasta
Rv3237c,,3613121,483,hypothetical protein,112,Rv3237c.fasta
Rv3238c,,3613664,735,integral membrane protein,212,Rv3238c.fasta
Rv3240c,secA1,3617682,2850,protein translocase subunit SecA,679,Rv3240c.fasta
Rv3241c,,3620610,645,hypothetical protein,141,Rv3241c.fasta
Rv3242c,,3621570,642,hypothetical protein,194,Rv3242c.fasta
Rv3243c,,3622249,843,hypothetical protein,222,Rv3243c.fasta
Rv3244c,lpqB,3623159,1752,lipoprotein LpqB,414,Rv3244c.fasta
Rv3245c,mtrB,3624910,1704,two component sensory histidine kinase MtrB,322,Rv3245c.fasta
Rv3246c,mtrA,3626663,687,two component DNA-binding response regulator MtrA,134,Rv3246c.fasta
Rv3247c,tmk,3627419,645,thymidylate kinase,148,Rv3247c.fasta
Rv3248c,sahH,3628160,1488,adenosylhomocysteinase,351,Rv3248c.fasta
Rv3249c,,3629752,636,TetR family transcriptional regulator,128,Rv3249c.fasta
Rv3250c,rubB,3630384,183,rubredoxin RubB,51,Rv3250c.fasta
Rv3251c,rubA,3630571,168,rubredoxin RubA,49,Rv3251c.fasta
Rv3252c,alkB,3630738,1251,transmembrane alkane 1-monooxygenase AlkB,326,Rv3252c.fasta
Rv3253c,,3632097,1488,cationic amino acid transport integral membrane protein,370,Rv3253c.fasta
Rv3254,,3633675,1389,hypothetical protein,371,Rv3254.fasta
Rv3256c,,3636275,1041,hypothetical protein,342,Rv3256c.fasta
Rv3257c,pmmA,3637312,1398,phosphomannomutase PmmA,265,Rv3257c.fasta
Rv3258c,,3638811,492,hypothetical protein,114,Rv3258c.fasta
Rv3259,,3639425,420,hypothetical protein,92,Rv3259.fasta
Rv3260c,whiB2,3639872,270,transcriptional regulator WhiB2,86,Rv3260c.fasta
Rv3261,fbiA,3640543,996,2-phospho-L-lactate transferase,259,Rv3261.fasta
Rv3262,fbiB,3641535,1347,coenzyme F420:L-glutamate ligase,289,Rv3262.fasta
Rv3263,,3643177,1662,DNA methylase,469,Rv3263.fasta
Rv3264c,manB,3644898,1080,D-alpha-D-mannose-1-phosphate guanylyltransferase ManB,231,Rv3264c.fasta
Rv3265c,wbbL1,3645979,906,N-acetylglucosaminyl-diphospho-decaprenol L-rhamnosyltransferase,170,Rv3265c.fasta
Rv3266c,rmlD,3646895,915,dTDP-4-dehydrorhamnose reductase,217,Rv3266c.fasta
Rv3267,,3647885,1497,hypothetical protein,336,Rv3267.fasta
Rv3268,,3649420,690,hypothetical protein,195,Rv3268.fasta
Rv3269,,3650234,282,hypothetical protein,75,Rv3269.fasta
Rv3270,ctpC,3650526,2157,manganese/zinc-exporting P-type ATPase,499,Rv3270.fasta
Rv3271c,,3652679,669,integral membrane protein,153,Rv3271c.fasta
Rv3272,,3653448,1185,hypothetical protein,360,Rv3272.fasta
Rv3275c,purE,3658114,525,N5-carboxyaminoimidazole ribonucleotide mutase,97,Rv3275c.fasta
Rv3278c,,3660651,519,transmembrane protein,137,Rv3278c.fasta
Rv3279c,birA,3661212,801,bifunctional biotin operon repressor/biotin--[acetyl-CoA-carboxylase] synthetase,220,Rv3279c.fasta
Rv3280,accD5,3662062,1647,propionyl-CoA carboxylase subunit beta,335,Rv3280.fasta
Rv3282,,3664219,669,hypothetical protein,212,Rv3282.fasta
Rv3283,sseA,3664928,894,thiosulfate sulfurtransferase SseA,278,Rv3283.fasta
Rv3284,,3665818,432,hypothetical protein,127,Rv3284.fasta
Rv3285,accA3,3666357,1803,bifunctional protein acetyl-/propionyl-CoA carboxylase subunit alpha AccA,334,Rv3285.fasta
Rv3286c,sigF,3668169,786,RNA polymerase sigma factor SigF,206,Rv3286c.fasta
Rv3287c,rsbW,3668951,438,anti-sigma factor RsbW,122,Rv3287c.fasta
Rv3288c,usfY,3669586,414,protein UsfY,128,Rv3288c.fasta
Rv3289c,,3670034,378,transmembrane protein,140,Rv3289c.fasta
Rv3290c,lat,3670445,1350,L-lysine-epsilon aminotransferase,353,Rv3290c.fasta
Rv3304,,3691141,480,hypothetical protein,73,Rv3304.fasta
Rv3305c,amiA1,3691639,1170,N-acyl-L-amino acid amidohydrolase AmiA,233,Rv3305c.fasta
Rv3306c,amiB1,3692805,1185,amidase AmiB,339,Rv3306c.fasta
Rv3307,deoD,3694054,807,purine nucleoside phosphorylase,199,Rv3307.fasta
Rv3308,pmmB,3694864,1605,phosphomannomutase PmmB,438,Rv3308.fasta
Rv3309c,upp,3696470,624,uracil phosphoribosyltransferase,168,Rv3309c.fasta
Rv3310,sapM,3697198,900,acid phosphatase,247,Rv3310.fasta
Rv3311,,3698121,1263,hypothetical protein,321,Rv3311.fasta
Rv3312A,,3700705,312,pilin,129,Rv3312A.fasta
Rv3312b,,3700356,171,hypothetical protein,45,Rv3312b.fasta
Rv3313c,add,3701087,1098,adenosine deaminase,211,Rv3313c.fasta
Rv3314c,deoA,3702184,1284,thymidine phosphorylase,332,Rv3314c.fasta
Rv3315c,cdd,3703464,402,cytidine deaminase,108,Rv3315c.fasta
Rv3316,sdhC,3704102,339,succinate dehydrogenase cytochrome B-556 subunit,86,Rv3316.fasta
Rv3317,sdhD,3704437,435,succinate dehydrogenase hydrophobic membrane anchor subunit,115,Rv3317.fasta
Rv3318,sdhA,3705000,1773,succinate dehydrogenase flavoprotein subunit,387,Rv3318.fasta
Rv3319,sdhB,3706772,792,succinate dehydrogenase iron-sulphur protein subunit,184,Rv3319.fasta
Rv3320c,vapC44,3707642,429,ribonuclease VapC44,126,Rv3320c.fasta
Rv3321c,vapB44,3708074,243,antitoxin VapB44,64,Rv3321c.fasta
Rv3322c,,3708438,615,methyltransferase,172,Rv3322c.fasta
Rv3328c,sigJ,3713394,939,ECF RNA polymerase sigma factor SigJ,274,Rv3328c.fasta
Rv3329,,3714392,1317,aminotransferase,370,Rv3329.fasta
Rv3330,dacB1,3715777,1218,penicillin-binding protein DacB,351,Rv3330.fasta
Rv3332,nagA,3718595,1152,N-acetylglucosamine-6-phosphate deacetylase NagA,358,Rv3332.fasta
Rv3333c,,3719937,846,proline-rich protein,312,Rv3333c.fasta
Rv3334,,3721257,441,MerR family transcriptional regulator,123,Rv3334.fasta
Rv3335c,,3721731,870,integral membrane protein,207,Rv3335c.fasta
Rv3336c,trpS,3722621,1011,tryptophan--tRNA ligase,187,Rv3336c.fasta
Rv3339c,icd1,3724615,1230,isocitrate dehydrogenase,336,Rv3339c.fasta
Rv3340,metC,3726127,1350,O-acetylhomoserine sulfhydrylase,291,Rv3340.fasta
Rv3341,metA,3727488,1140,homoserine O-acetyltransferase,285,Rv3341.fasta
Rv3342,,3728624,732,methyltransferase,157,Rv3342.fasta
Rv3356c,folD,3769804,846,bifunctional methylenetetrahydrofolate dehydrogenase/methenyltetrahydrofolate cyclohydrolase,204,Rv3356c.fasta
Rv3357,relJ,3770773,276,antitoxin RelJ,80,Rv3357.fasta
Rv3358,relK,3771045,258,toxin RelK,71,Rv3358.fasta
Rv3359,,3771344,1191,oxidoreductase,338,Rv3359.fasta
Rv3360,,3772651,369,hypothetical protein,88,Rv3360.fasta
Rv3361c,,3773016,552,hypothetical protein,156,Rv3361c.fasta
Rv3362c,,3773574,582,ATP/GTP-binding protein,180,Rv3362c.fasta
Rv3364c,,3774482,393,hypothetical protein,103,Rv3364c.fasta
Rv3365c,,3774871,2631,hypothetical protein,794,Rv3365c.fasta
Rv3366,spoU,3777737,465,tRNA/rRNA methylase SpoU,134,Rv3366.fasta
Rv3368c,,3780335,645,oxidoreductase,169,Rv3368c.fasta
Rv3369,,3780978,435,hypothetical protein,118,Rv3369.fasta
Rv3370c,dnaE2,3781501,3240,error-prone DNA polymerase,811,Rv3370c.fasta
Rv3372,otsB2,3786314,1176,trehalose 6-phosphate phosphatase,312,Rv3372.fasta
Rv3373,echA18,3787726,642,enoyl-CoA hydratase,201,Rv3373.fasta
Rv3375,amiD,3788621,1428,amidase,412,Rv3375.fasta
Rv3376,,3790156,654,phosphatase,210,Rv3376.fasta
Rv3377c,,3790848,1506,type B diterpene cyclase,472,Rv3377c.fasta
Rv3378c,,3792358,891,diterpene synthase,335,Rv3378c.fasta
Rv3379c,dxs2,3793257,1611,1-deoxy-D-xylulose 5-phosphate synthase,523,Rv3379c.fasta
Rv3389c,htdY,3803919,873,3-hydroxyacyl-thioester dehydratase HtdY,319,Rv3389c.fasta
Rv3390,lpqD,3804865,711,lipoprotein LpqD,219,Rv3390.fasta
Rv3391,acrA1,3805621,1953,acyl-CoA-reductase AcrA,584,Rv3391.fasta
Rv3392c,cmaA1,3807574,864,cyclopropane mycolic acid synthase CmaA,220,Rv3392c.fasta
Rv3393,iunH,3808461,927,nucleoside hydrolase,212,Rv3393.fasta
Rv3394c,,3809442,1584,hypothetical protein,384,Rv3394c.fasta
Rv3395A,,3811719,627,membrane protein,142,Rv3395A.fasta
Rv3395c,,3811022,615,hypothetical protein,189,Rv3395c.fasta
Rv3396c,guaA,3812501,1578,GMP synthase,316,Rv3396c.fasta
Rv3397c,phyA,3814090,909,phytoene synthase,229,Rv3397c.fasta
Rv3398c,idsA1,3815027,1080,multifunctional dimethylallyltransferase/geranyltranstransferase/farnesylt ranstransferase,302,Rv3398c.fasta
Rv3399,,3816129,1047,S-adenosylmethionine-dependent methyltransferase,280,Rv3399.fasta
Rv3400,,3817239,789,hydrolase,195,Rv3400.fasta
Rv3401,,3818042,2361,glycosyl hydrolase,671,Rv3401.fasta
Rv3403c,,3822262,1602,hypothetical protein,478,Rv3403c.fasta
Rv3404c,,3823880,705,hypothetical protein,203,Rv3404c.fasta
Rv3405c,,3824702,567,HTH-type transcriptional regulator,141,Rv3405c.fasta
Rv3406,,3825330,888,dioxygenase,241,Rv3406.fasta
Rv3407,vapB47,3826252,300,antitoxin VapB47,69,Rv3407.fasta
Rv3408,vapC47,3826548,411,ribonuclease VapC47,109,Rv3408.fasta
Rv3409c,choD,3826991,1737,cholesterol oxidase,436,Rv3409c.fasta
Rv3410c,guaB3,3828783,1128,oxidoreductase,299,Rv3410c.fasta
Rv3411c,guaB2,3829930,1590,inosine-5'-monophosphate dehydrogenase,367,Rv3411c.fasta
Rv3412,,3831726,411,hypothetical protein,112,Rv3412.fasta
Rv3413c,,3832146,900,anti-sigma-D factor RsdA,241,Rv3413c.fasta
Rv3415c,,3833694,828,hypothetical protein,278,Rv3415c.fasta
Rv3416,whiB3,3834892,309,redox-responsive transcriptional regulator WhiB3,89,Rv3416.fasta
Rv3417c,groEL1,3835272,1620,chaperonin GroEL,366,Rv3417c.fasta
Rv3418c,groES,3836986,303,chaperonin GroES,84,Rv3418c.fasta
Rv3419c,gcp,3837555,1035,O-sialoglycoprotein endopeptidase,230,Rv3419c.fasta
Rv3420c,rimI,3838586,477,ribosomal-protein-alanine acetyltransferase RimI,145,Rv3420c.fasta
Rv3421c,,3839059,636,hypothetical protein,208,Rv3421c.fasta
Rv3422c,,3839691,507,tRNA threonylcarbamoyladenosine biosynthesis protein,132,Rv3422c.fasta
Rv3423c,alr,3840194,1227,alanine racemase,375,Rv3423c.fasta
Rv3432c,gadB,3850372,1383,glutamate decarboxylase GadB,319,Rv3432c.fasta
Rv3434c,,3853215,714,transmembrane protein,247,Rv3434c.fasta
Rv3435c,,3853939,855,transmembrane protein,266,Rv3435c.fasta
Rv3436c,glmS,3855015,1875,glucosamine--fructose-6-phosphate aminotransferase,426,Rv3436c.fasta
Rv3437,,3856911,477,transmembrane protein,140,Rv3437.fasta
Rv3438,,3857397,843,hypothetical protein,244,Rv3438.fasta
Rv3439c,,3858259,1404,alanine/proline-rich protein,439,Rv3439c.fasta
Rv3440c,,3859665,312,hypothetical protein,95,Rv3440c.fasta
Rv3441c,mrsA,3860024,1347,phosphoglucosamine mutase,344,Rv3441c.fasta
Rv3442c,rpsI,3861495,456,30S ribosomal protein S9,184,Rv3442c.fasta
